algo,param,k,sample_size,noise_ratio,inertia,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type,AMI_type,V_type,ARI_label,AMI_label,V_label,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size
KMeans,k=23,23,20000,0.0,596148.9237025036,0.2903205999464037,1.5820109076351216,600.5742973647596,20000,23,0.32537619266630485,0.587933261312743,0.5887995986094192,0.055403718107998316,0.20781077041260532,0.20808563314430217,106,112.16,0,0,4639
KMeans,k=24,24,20000,0.0,587845.4889953005,0.3087002124357496,1.84173129423123,598.7168561448922,20000,24,0.2861236266016356,0.5683242715516984,0.5692416109989644,0.04980110763704618,0.21444438338195665,0.21471528361685446,134,142.28,0,0,3510
KMeans,k=25,25,20000,0.0,545353.5821409184,0.3435523236075976,1.3721962166989057,677.8104789869942,20000,25,0.27273838973422815,0.5807601835923378,0.5817134048976499,0.0681387690040299,0.22787465600336096,0.22816256816915906,134,142.64,0,0,5751
KMeans,k=26,26,20000,0.0,541018.1194985082,0.33912984168835925,1.5073082027659341,666.2402126945017,20000,26,0.288356956126054,0.5908840807284936,0.5918418420601187,0.11116084908955927,0.24918348155905476,0.24947025366451855,134,140.25,0,0,5739
KMeans,k=27,27,20000,0.0,520880.0515024584,0.3880995995997406,1.435953935251057,690.5284880867201,20000,27,0.3316608678099016,0.6084564290503137,0.6093793221840621,0.07875266034141597,0.2449501277338675,0.24523611167910547,134,143.36,0,0,4200
KMeans,k=28,28,20000,0.0,505203.33969062986,0.40335155226111247,1.7039531489285298,713.4296964814151,20000,28,0.3386297179445009,0.6121683830210336,0.6130965505109253,0.055271588119570815,0.22612079818075934,0.22641552354493968,134,140.48,0,0,2680
KMeans,k=29,29,20000,0.0,492256.68449541146,0.4081224456703366,1.4805835355939372,722.6104122513881,20000,29,0.33047688108595064,0.607822074551659,0.6087909052617311,0.06577183288560416,0.23817369914876726,0.23847241811718806,134,138.48,0,0,3569
KMeans,k=30,30,20000,0.0,481695.2748997149,0.4332528670431506,1.4981957295710062,732.9703824291126,20000,30,0.33002531206061836,0.6097545741215166,0.610752728724026,0.07271193271277213,0.2545467994456108,0.2548490038034807,134,141.25,0,0,3643
KMeans,k=31,31,20000,0.0,460665.7907904918,0.44589586610735094,1.5530243053004709,772.9661007748567,20000,31,0.3203137868802321,0.604954598565032,0.6059853270660246,0.052154541085155916,0.21312029963785395,0.2134438924235793,134,139.1,0,0,3048
KMeans,k=32,32,20000,0.0,458762.5629269113,0.44412314658770813,1.6039776354903683,749.374457513739,20000,32,0.3373697167909498,0.6199177229418498,0.6209337104814754,0.05849165645822493,0.24208176333606696,0.24239986008693135,134,135.55,0,0,3073
